LGA,LGA_code,LGA_type,total_net_exp,SEIFA_dis_score,SEIFA_dis_rank,SEIFA_dis_rank_country,SEIFA_dis_rank_metro,SEIFA_ADVDIS_score,SEIFA_ADVDIS_rank_state,SEIFA_ADVDIS_rank_country,SEIFA_ADVDIS_rank_metro,adult_pop,adults_per_venue,egm_per_1000,exp_per_adult,workforce,unemployed,ue_rate,SEIFA_disadvantage,LGA_new2,LGA_new
Shire of Wellington,C12,Country,26291861.26,972.9694388,22,19,0,942.6792544,21,19,0,37383.91000674536,5340.558572392193,8.479583862223139,703.2935093000181,23313,899,0.0385621756101745,612.7271752531932,Rural,2
Rural City of Wodonga,C15,Country,10782766.810000002,973.0740152,23,20,0,947.0115984,23,21,0,34603.878015679344,11534.626005226448,4.334774268133577,311.6057340484852,23956,953,0.0397812656536984,819.0282931236708,Regional,3
City of Warrnambool,C16,Country,23211597.75,994.9477931,37,31,0,961.073322,31,28,0,28729.804125798622,3591.225515724828,8.144851909723744,807.9274626573796,19868,395,0.01988121602577,551.5368833203681,Rural,2
City of Greater Bendigo,C19,Country,58668802.260000005,984.9620533,27,24,0,959.0622591,29,26,0,98693.027170084,8972.093379098545,6.707667390312521,594.4574195590567,63089,1957,0.031019670624039,627.6724538342935,Regional,3
City of Ballarat,C20,Country,63550282.39,985.7093504,29,25,0,964.8076543,33,30,0,93882.28568082277,6705.8775486301965,6.944867130915875,676.9145204459094,60373,2816,0.0466433670680602,668.8105293027794,Metro,1
Rural City of Swan Hill,C23,Country,9660479.47,940.6167909,7,5,0,927.0698076,12,11,0,16574.05289444998,4143.513223612495,9.593308348451275,582.8676625760576,12011,346,0.0288069269835983,688.7737099110618,Regional,3
City of Greater Shepparton,C24,Country,43126080.10000001,944.0409053,9,6,0,931.1302985,16,14,0,54657.594885474005,6832.199360684251,6.019291567610418,789.0226452584241,40005,795,0.019872515935508,728.3908149003527,Regional,3
Rural City of Mildura,C27,Country,36959276.6,940.0018025,5,3,0,922.2651057,7,6,0,45529.7008810714,5691.212610133925,6.171795433798323,811.7619023358336,31290,1281,0.0409395973154362,798.1465703994596,Metro,1
Shire of East Gippsland,C28,Country,30377352.32,963.3117284,18,15,0,930.853683,15,13,0,41173.41176982487,4117.341176982487,8.063456141453788,737.7905064030405,23235,1157,0.049795567032494,568.7348759192674,Metro,1
Shire of Bass Coast,C29,Country,20621836.61,992.8285467,34,29,0,957.4960869,28,25,0,35498.937387709084,7099.787477541817,6.00017960181951,580.9141942693745,20107,661,0.0328741234395981,928.2350067025344,Metro,1
City of Latrobe,C30,Country,49584137.64,930.8178602,4,2,0,907.0987768,2,2,0,62732.22539052192,4825.555799270916,8.321082135225318,790.4093523117955,39588,2366,0.0597655855309689,697.1273956347761,Regional,3
Shire of Surf Coast,C33,Country,4449256.77,1086.196967,77,48,0,1075.791801,72,48,0,31324.43181474968,10441.477271583226,2.8412327006069664,142.0379081833812,22639,329,0.0145324440125447,843.8697623231766,Regional,3
Shire of South Gippsland,C4,Country,7157434.540000001,1002.588744,40,34,0,965.9906565,34,31,0,25101.187190766937,6275.296797691734,4.18306907964188,285.1432677508077,16103,406,0.0252126932869651,737.2888138335925,Regional,3
Shire of Macedon Ranges,C45,Country,9695883.28,1062.808882,73,46,0,1047.396791,63,46,0,41093.93512045263,13697.978373484211,2.5064525871784045,235.9443857488916,29882,452,0.0151261629074359,688.0715420785502,Metro,1
Rural City of Horsham,C5,Country,11641002.59,990.0981008,32,27,0,959.111719,30,27,0,16042.795680980813,5347.598560326937,9.536991123148558,725.6218193815644,11563,333,0.0287987546484476,574.5611099484306,Metro,1
Shire of Baw Baw,C6,Country,20430795.160000004,1003.321525,42,35,0,971.1326956,38,35,0,48169.90612879206,12042.476532198016,4.940844172784113,424.14023198164654,32053,844,0.026331388637569,804.0430568398396,Metro,1
Rural City of Wangaratta,C9,Country,10559115.95,988.3513064,30,26,0,956.582454,27,24,0,24077.06868409762,6019.267171024405,6.396127453077943,438.5548792729104,16126,564,0.0349745752201413,691.5215144315083,Regional,3
City of Melbourne,M1,Metro,95137726.95000002,1016.684788,50,0,10,1085.522115,73,0,24,163965.093764873,16396.509376487298,4.586342023982086,580.2315893310081,119302,4959,0.0415667801042731,864.5341280281153,Regional,3
City of Moreland,M10,Metro,61438680.97,1026.530542,55,0,14,1049.419536,65,0,18,151981.32856936497,12665.110714113747,4.2044638378612245,404.2515060786504,113117,5399,0.0477293421855247,662.2960081636706,Rural,2
City of Darebin,M11,Metro,84552235.28,1018.342368,52,0,11,1044.196002,61,0,15,131191.70150156828,11926.51831832439,5.442417407715874,644.4937775198323,96257,4902,0.0509261664086767,742.5331596096182,Regional,3
City of Boroondara,M12,Metro,18805362.94,1089.616442,78,0,29,1130.726944,80,0,31,140973.83395920836,35243.45848980209,1.1491494233382038,133.39612332201625,102280,3211,0.031394211967149,940.420997840605,Rural,2
City of Whitehorse,M13,Metro,59662331.37,1042.697471,67,0,21,1067.255885,70,0,22,144757.72919114627,24126.288198524377,2.9773885125738837,412.15299316569474,99397,4236,0.0426169803917623,860.9834169387917,Metro,1
City of Manningham,M14,Metro,58047020.8,1056.081109,70,0,24,1075.160902,71,0,23,104071.89475526812,17345.315792544687,4.4392388654633725,557.7588544582701,68842,2826,0.0410505214839778,763.7286415822263,Metro,1
City of Banyule,M15,Metro,58630345.09,1057.684713,71,0,25,1064.256909,67,0,20,103517.6780047258,11501.96422274731,6.1342179639212056,566.3800253259487,76607,2460,0.0321119479943086,770.8130845675339,Rural,2
City of Maroondah,M17,Metro,63968642.39999999,1041.026734,63,0,17,1034.655377,60,0,14,93422.47878334908,11677.809847918636,6.850599645125974,684.7243108197347,66751,2613,0.0391454809665772,500.00000025463294,Rural,2
City of Knox,M18,Metro,76623268.16,1042.169006,65,0,19,1028.669427,58,0,12,129908.16884668564,11809.833531516875,5.934961649023896,589.8264046076183,91913,3663,0.0398529043769651,797.387923728995,Metro,1
City of Monash,M19,Metro,121417688.02,1042.308433,66,0,20,1066.962401,68,0,21,164255.80785065892,10950.387190043928,5.8141018725394735,739.1987510748645,112632,2255,0.0200209531926983,705.2211514089844,Rural,2
City of Port Phillip,M2,Metro,29442783.23,1061.015673,72,0,26,1105.734658,76,0,27,97825.99175285926,9782.599175285926,3.853781528250962,300.97096592061325,73919,3143,0.0425195146038231,811.4211292014037,Regional,3
City of Kingston,M20,Metro,86299825.28999999,1044.259648,68,0,22,1048.233929,64,0,17,131182.23160302686,8198.889475189178,6.997898943951327,657.8621527887526,95863,3202,0.0334018338670811,705.0735266640581,Regional,3
City of Greater Dandenong,M21,Metro,137923170.53,886.6579124,1,0,1,917.860836,3,0,1,130773.4252969962,9340.958949785443,7.09624297056105,1054.6727686972042,84196,5409,0.0642429569100669,624.6295289924323,Regional,3
City of Frankston,M22,Metro,65795232.35,1003.136321,41,0,7,982.1058149,42,0,6,112815.3011001714,12535.0334555746,4.600439789095342,583.2119553674626,76961,3044,0.0395525006171957,794.4348192931543,Regional,3
City of Casey,M23,Metro,158435289.13000005,994.6710391,36,0,6,986.3415394,44,0,7,298107.98315040383,22931.383319261837,3.0391671850763475,531.4694610176373,215866,10035,0.0464871725978153,832.5160271343457,Metro,1
Shire of Cardinia,M24,Metro,36831475.25000001,1020.955982,54,0,13,992.8915294,50,0,8,96787.03281573906,16131.17213595651,4.184444839537851,380.54142356155216,72377,2537,0.0350525719496525,872.0670913007182,Rural,2
Shire of Yarra Ranges,M25,Metro,30596818.289999995,1041.249719,64,0,18,1014.133403,55,0,10,125712.88016637738,13968.097796264154,3.595494744864576,243.38650303378608,90152,3519,0.0390340757831218,960.8443023302927,Rural,2
City of Hume,M27,Metro,138016294.79999998,940.8164076,8,0,3,948.5714471,24,0,3,198226.4759107516,14159.033993625117,4.20226408290205,696.2556044336866,135744,9760,0.0719000471475719,713.8415763236513,Metro,1
City of Brimbank,M28,Metro,171667782.49,912.4696637,3,0,2,928.4203582,13,0,2,159547.55541161777,10636.50369410785,5.910463482609609,1075.9662349392518,107496,6340,0.0589789387512093,553.1851491728565,Regional,3
Shire of Melton,M29,Metro,90271752.75,985.1878685,28,0,4,973.9039808,40,0,4,158361.72173839674,22623.103105485246,3.302565760581727,570.0351812234214,110899,5755,0.0518940657715579,817.9714100794359,Regional,3
City of Hobsons Bay,M3,Metro,46936040.49,1020.66275,53,0,12,1034.269139,59,0,13,74338.31044475442,8259.81227163938,7.196827541535168,631.3842782972744,56536,1594,0.0281944247912834,760.1808985879912,Rural,2
City of Wyndham,M30,Metro,125213060.91,1005.516265,44,0,8,1004.37918,54,0,9,238883.40555107995,18375.646580852303,3.738225340265637,524.1597281366032,183269,8035,0.0438426575143641,801.4560188738817,Metro,1
Shire of Mornington Peninsula,M31,Metro,87818238.92000002,1037.538438,60,0,15,1016.208911,56,0,11,139504.7926300895,8719.049539380594,5.55536469671682,629.499798998724,83467,2176,0.026070183425785,772.6889968720787,Rural,2
City of Yarra,M4,Metro,29842339.2,1045.741429,69,0,23,1107.861254,77,0,28,88438.08394493589,12634.0119921337,3.2565155999910305,337.4376498091105,67799,3272,0.0482602988244664,942.1745703694552,Rural,2
City of Maribyrnong,M5,Metro,66253194.45,1009.717021,48,0,9,1044.594148,62,0,16,78609.09521721813,8734.343913024237,5.991673084374016,842.8184329933395,61101,2457,0.0402121078214759,563.4002991856685,Metro,1
City of Stonnington,M6,Metro,19809877.19,1084.476004,76,0,28,1129.989129,79,0,30,97486.40742114534,24371.60185528633,2.041310222258081,203.20655683228236,72834,1856,0.0254826042782217,817.2594812680233,Rural,2
City of Glen Eira,M7,Metro,71755193.09,1074.592644,74,0,27,1102.847404,75,0,26,124741.97091812664,13860.21899090296,5.226789309172731,575.2289511049647,94822,2661,0.0280631077176182,809.294691215587,Rural,2
City of Bayside,M8,Metro,12380460.230000002,1090.406575,79,0,30,1127.126354,78,0,29,82672.82856997922,27557.60952332641,1.6692304156883728,149.75246939229183,59319,1227,0.0206847721640621,844.98360760227,Metro,1
City of Moonee Valley,M9,Metro,85434267.05,1040.715483,62,0,16,1059.755144,66,0,19,104151.91244493944,9468.355676812676,7.162614516506143,820.2851493021346,76284,2975,0.0389990037229301,713.6118283118017,Rural,2
Shire of Buloke,C7,Country,0.0,975.0490374,24,21,0,946.0568513,22,20,0,5012.069907313837,0.0,0.0,0.0,3269,95,0.029060874885286,939.0470795665608,Rural,2
Shire of Golden Plains,C32,Country,0.0,1039.942689,61,45,0,996.946464,52,44,0,19535.25745879043,0.0,0.0,0.0,14369,409,0.0284640545619041,887.8059286344845,Metro,1
Shire of Hindmarsh,C8,Country,0.0,940.1013668,6,4,0,922.8301517,8,7,0,4565.12346201177,0.0,0.0,0.0,2916,107,0.0366941015089163,834.7812106408908,Metro,1
Shire of Indigo,C35,Country,0.0,1029.417236,59,44,0,996.2871485,51,43,0,14057.84925181001,0.0,0.0,0.0,9571,202,0.021105422630864,785.3473212321528,Rural,2
Shire of Loddon,C46,Country,0.0,948.1040223,11,8,0,924.8063462,10,9,0,6371.733134351878,0.0,0.0,0.0,3652,147,0.0402519167579408,767.6408675182475,Rural,2
Shire of Moyne,C36,Country,0.0,1028.978572,58,43,0,998.4238392,53,45,0,13797.11171991639,0.0,0.0,0.0,9818,125,0.0127317172540232,943.4542569489664,Metro,1
Shire of Pyrenees,C44,Country,0.0,958.6908796,17,14,0,929.2570974,14,12,0,6394.974139557322,0.0,0.0,0.0,3451,184,0.0533178788756882,963.0944444360262,Metro,1
Shire of West Wimmera,C39,Country,0.0,991.0072971,33,28,0,971.1690792,39,36,0,3164.891613415179,0.0,0.0,0.0,2188,64,0.0292504570383912,911.306106089156,Regional,3
Shire of Yarriambiack,C40,Country,0.0,945.9260556,10,7,0,923.0242366,9,8,0,5183.613840300105,0.0,0.0,0.0,3181,130,0.040867651681861,907.9688729178368,Rural,2
